Date	Open	High	Low	Close	Volume
10/08/2018	1980.95	1996.5	1972.05	1993.1	2784105
13/08/2018	1997.8	2004.25	1990	2000.15	3559575
14/08/2018	1992	2024.6	1982.4	2003.55	3311765
16/08/2018	2000.3	2020.05	1995	2008.5	2152065
17/08/2018	2013.85	2021.9	2004	2012.75	1213731
20/08/2018	2024	2024	2003.7	2009.95	1587032
21/08/2018	2010.15	2024	2004	2017.65	1376866
23/08/2018	2022.8	2038	2020.3	2035.1	3046791
24/08/2018	2035.1	2046	2031	2043	1570533
27/08/2018	2043	2059	2035	2050.9	1532702
28/08/2018	2055	2072	2052	2069.2	1987983
29/08/2018	2072.5	2076.6	2045.6	2072	1525867
30/08/2018	2068	2085	2065.5	2082.4	2408020
31/08/2018	2082.3	2092	2074	2078.4	2504554
03/09/2018	2084.8	2090	2048.4	2052.9	1439711
04/09/2018	2059.8	2104.75	2056.95	2098.9	4420803
05/09/2018	2100	2107.25	2075.05	2079.25	1681106
06/09/2018	2075	2081.5	2060.3	2075.3	2238097
07/09/2018	2079.3	2084	2065.4	2079.85	1312182
10/09/2018	2084.4	2093.4	2074.25	2080.75	1530539
11/09/2018	2089	2089	2042.2	2046.25	3679745
12/09/2018	2052.35	2068.9	2040	2043.95	2307661
14/09/2018	2044	2071.55	2018.15	2065.4	3642038
17/09/2018	2070	2077.8	2054.55	2074.15	1033857
18/09/2018	2073	2078.8	2057.6	2070.75	1456507
19/09/2018	2071.9	2089	2066.85	2077.9	1301268
21/09/2018	2077	2121	2050.15	2103.15	4508530
24/09/2018	2115	2210.5	2098.15	2198.45	3032226
25/09/2018	2204.9	2211.9	2153.8	2183.2	2868778
26/09/2018	2187	2199	2135.1	2142.15	1970951
27/09/2018	2141.9	2209.7	2135.8	2188.85	3311802
28/09/2018	2178	2190	2158.85	2183.7	2904371
01/10/2018	2190.9	2275.95	2190.35	2255.55	3772208
03/10/2018	2250.3	2255	2155.6	2162.85	3902322
