Date	Open	High	Low	Close	Volume
30/05/2022	1487	1530	1485	1526.8	10904213
31/05/2022	1510.7	1518	1488.15	1503.6	16033857
01/06/2022	1513	1514.75	1472.1	1478.55	8738508
02/06/2022	1484	1513.85	1475.6	1508	7205840
03/06/2022	1524.9	1555	1518	1521.7	9395707
06/06/2022	1516	1536.6	1493	1530.05	6624883
07/06/2022	1519.85	1519.85	1502.6	1506.7	4904592
08/06/2022	1520.2	1520.2	1492	1500	4697608
09/06/2022	1485	1516.95	1481.5	1515	4361061
10/06/2022	1486.1	1493.95	1473.6	1476.8	6516436
13/06/2022	1443.6	1443.6	1411.7	1424.5	6987685
14/06/2022	1410	1448.9	1403.15	1440.55	6090247
15/06/2022	1440.2	1446.4	1418.85	1422.2	4651958
16/06/2022	1438	1443.75	1392	1397.2	6641772
17/06/2022	1391.05	1396.95	1367.15	1387.3	9692047
20/06/2022	1390.05	1422.35	1382	1414.15	4595194
21/06/2022	1424	1456	1422.75	1449.9	6270787
22/06/2022	1436.05	1459.6	1435	1437.25	6253366
23/06/2022	1439.8	1458	1433	1452.45	6254281
24/06/2022	1458	1467.5	1428.9	1441.1	6114340
27/06/2022	1468.05	1484	1465.15	1474.6	4511097
28/06/2022	1469	1488.25	1453	1480.15	4412178
29/06/2022	1464.7	1477	1457	1463.25	5060038
30/06/2022	1465.05	1482	1455	1461.9	9165177
01/07/2022	1454	1485	1442.35	1479.4	4651635
04/07/2022	1480.25	1492.25	1462	1488	4800224
05/07/2022	1498.8	1509.95	1472	1475.95	7379669
06/07/2022	1482.2	1500	1470	1491.65	5209162
07/07/2022	1503.05	1513.95	1495.7	1498.7	3323472
08/07/2022	1515	1516.95	1499.95	1514.45	3652582
11/07/2022	1495	1499.9	1466.4	1473.15	4702815
12/07/2022	1461.8	1468.6	1436	1438.6	4710356
13/07/2022	1450	1460	1438.6	1444.45	5264025
14/07/2022	1451	1452.95	1414	1428.85	6157606
15/07/2022	1446	1446	1410.65	1430.35	5620018
18/07/2022	1450	1493.6	1448.05	1489.9	5835171
19/07/2022	1471.55	1486.85	1470.1	1484.15	3418540
20/07/2022	1501.25	1525.8	1500	1515.3	5079392
21/07/2022	1517	1535.45	1503.1	1532.9	5008061
22/07/2022	1534	1540	1492.15	1506.3	7020642
25/07/2022	1480.1	1517.15	1480.1	1503.6	7859626
26/07/2022	1496.65	1496.65	1445	1451.15	7268273
27/07/2022	1451	1473	1445	1471.05	4517285
28/07/2022	1496.4	1524.45	1489.85	1517.4	6636841
29/07/2022	1532.8	1555.7	1528	1549.7	7009465
01/08/2022	1564	1564	1537.9	1551.05	2983249
02/08/2022	1546.55	1547	1528.35	1543.6	4374635
03/08/2022	1549	1570	1539.9	1566.1	6011955
04/08/2022	1587.5	1603.85	1574.95	1599.9	7402209
05/08/2022	1608.4	1625.7	1602.3	1616.65	5361971
08/08/2022	1617	1622	1596	1619.4	3763409
10/08/2022	1621.2	1621.2	1588.1	1602.45	4423829
11/08/2022	1630	1631.35	1616	1619.95	3462090
12/08/2022	1613.3	1614	1590.15	1594.1	3562286
16/08/2022	1609	1609	1591.1	1596.45	3004430
17/08/2022	1596.45	1612	1585	1606.25	4067324
18/08/2022	1594.1	1598.2	1574	1582.95	4635706
19/08/2022	1585.3	1604.9	1585.1	1597.1	4739884
22/08/2022	1586	1599	1574	1575.65	3950555
23/08/2022	1548	1554.5	1533	1542.4	5551574
24/08/2022	1535	1546	1531	1537.5	2888426
25/08/2022	1548	1548.7	1513.75	1518.15	4331088
26/08/2022	1535.15	1544.95	1517.45	1521.55	3079136
29/08/2022	1468.55	1468.55	1450	1461.75	8079050
30/08/2022	1473.1	1496.1	1466	1492.95	6725875
01/09/2022	1460.05	1468.1	1451.05	1464.2	8140604
02/09/2022	1478	1478	1448	1453	5175653
05/09/2022	1451	1467	1446.35	1461.3	3669352
06/09/2022	1461.3	1470	1445.45	1455.1	3428442
07/09/2022	1440	1465.75	1438.05	1457.65	3600574
08/09/2022	1475	1481.1	1463.6	1475.9	4061475
09/09/2022	1488	1520	1480	1511.65	4816910
13/09/2022	1551.9	1553	1541.3	1544.95	4947158
14/09/2022	1497	1498.95	1472	1475.4	14332197
