Date	Open	High	Low	Close	Volume
28/09/2022	1180.18	1189	1163.55	1166.22	7844140
29/09/2022	1180	1183.75	1156.5	1162.65	6771046
30/09/2022	1155.5	1201	1155.5	1188.88	8589908
03/10/2022	1195.75	1208.47	1181.5	1184.75	5470030
04/10/2022	1198.9	1209	1195.08	1206.6	4129893
06/10/2022	1214.5	1225	1209.08	1211.05	6162021
07/10/2022	1207.33	1221.95	1207.33	1216.18	3560167
10/10/2022	1202.5	1208.8	1194	1202.9	2921076
11/10/2022	1207	1207	1175.55	1178.95	4252803
12/10/2022	1176	1190.85	1171.55	1187.63	3422992
13/10/2022	1185.7	1197	1180.05	1191.4	3382098
14/10/2022	1207.5	1208.18	1184.55	1185.35	4202459
17/10/2022	1177.5	1207	1171.8	1204.38	7720595
18/10/2022	1211	1231.5	1210.08	1225.63	5729899
19/10/2022	1227.25	1263.93	1220.85	1246.95	8882553
20/10/2022	1242.5	1259.5	1242.5	1250.3	4022919
21/10/2022	1253.85	1258.4	1233.5	1235.8	3804352
25/10/2022	1249.5	1249.5	1219	1220.78	5645639
27/10/2022	1229	1234.22	1216.4	1225.58	5774775
28/10/2022	1232.5	1267.5	1229.72	1263.08	8126824
31/10/2022	1270.5	1280.47	1266.1	1274.8	5731802
01/11/2022	1300	1300	1254	1264.93	6443999
02/11/2022	1266.15	1275.1	1257.5	1272.83	4145144
03/11/2022	1264.93	1279.78	1262.53	1277.58	3089026
04/11/2022	1276.95	1300	1275.55	1296.38	5803737
07/11/2022	1295.5	1305.15	1287	1303.3	5440967
09/11/2022	1305.15	1310.98	1295.03	1302	5193814
10/11/2022	1295	1298.28	1281.5	1286.25	2753420
11/11/2022	1300	1318	1294	1315.9	5681124
14/11/2022	1315.38	1321	1302.58	1309.53	4173395
15/11/2022	1311.15	1313.2	1295	1303.65	3270388
16/11/2022	1305	1307.97	1290.68	1296.18	4484007
17/11/2022	1292.47	1306.5	1290	1299.53	3074259
18/11/2022	1303.38	1304.5	1285.55	1298.83	2447425
21/11/2022	1294	1294	1271.55	1275.45	2949108
22/11/2022	1272.5	1284.25	1268.25	1282.53	3051201
23/11/2022	1287.5	1288.95	1276.13	1278.53	2959787
24/11/2022	1283	1297	1274.1	1289.55	4333225
25/11/2022	1294.5	1312.45	1291.05	1308.8	3391988
28/11/2022	1304.45	1360.53	1251	1353.78	14549929
29/11/2022	1351.98	1365.83	1347	1356.1	5103687
30/11/2022	1356.25	1372.73	1349.1	1365.68	12075137
01/12/2022	1370.9	1377.5	1358	1361.65	4377696
02/12/2022	1365	1374	1350.3	1361.08	5348595
05/12/2022	1356	1358.38	1339	1341.23	6843367
06/12/2022	1332.55	1348.5	1330.5	1345.1	3966243
07/12/2022	1342.5	1347.5	1321.08	1325.25	3905263
08/12/2022	1330	1332.5	1320.05	1324.63	3579858
09/12/2022	1323	1330	1300.93	1304.55	5840633
12/12/2022	1292.75	1311.5	1292.5	1306.55	4374946
13/12/2022	1306.55	1316.5	1303.35	1312.5	3845839
14/12/2022	1318.83	1319.48	1305.5	1307.75	3354618
15/12/2022	1301.25	1307.5	1285.5	1289.18	4009765
16/12/2022	1285.5	1309.4	1279.08	1282.8	7308934
19/12/2022	1290.5	1302	1283.35	1299.65	3567363
20/12/2022	1291.95	1313	1283	1310.9	3446291
21/12/2022	1310.5	1316.5	1288.05	1292.25	3935463
22/12/2022	1299	1302.33	1283.38	1288.9	3438692
23/12/2022	1281.65	1295.25	1246.13	1251.1	4733657
26/12/2022	1257.38	1271	1246.2	1262.03	2764496
27/12/2022	1265	1274.4	1257.63	1272.35	2659749
28/12/2022	1269	1274.9	1260.75	1272.22	3442509
29/12/2022	1263.5	1274.45	1262.75	1271.65	3198493
30/12/2022	1272.55	1288.5	1270.55	1273.6	3364092
02/01/2023	1275	1289.5	1274.1	1287.95	2453414
03/01/2023	1282.53	1286.5	1273.9	1278.53	3534596
04/01/2023	1278.5	1280.53	1257	1259.28	4275746
05/01/2023	1261.75	1268.2	1252	1257.03	6293519
06/01/2023	1263.33	1273.97	1259.15	1268.45	2930338
09/01/2023	1272.65	1301	1271.68	1298.4	4948549
10/01/2023	1303	1303	1273	1279.2	3713755
11/01/2023	1276.25	1279	1260.55	1263.08	5311657
12/01/2023	1262.43	1266.25	1232.5	1235.8	8163366
13/01/2023	1229.2	1236.45	1217.3	1233.8	9515473
16/01/2023	1236.35	1239.83	1213.5	1222.05	6287407
17/01/2023	1229	1241.5	1225.3	1239.4	4961585
